CELLLINE NAME	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
K-562	1.0000 	0.4633 	0.0000 	0.0000 	0.5884 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.8898 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.4490 	0.2082 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4577 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.7327 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 
MOLT-4	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4724 	0.4564 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	0.0000 	1.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.2678 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
RPMI-8226	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
SR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4724 	0.4564 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	0.0000 	1.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.2678 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
LOX-IMVI	0.4490 	0.9999 	0.0000 	0.0000 	0.2642 	0.4490 	0.8935 	0.5149 	0.4490 	0.8935 	0.4864 	0.3995 	0.8935 	0.4490 	0.4490 	0.4490 	0.4490 	0.4490 	0.0000 	0.0000 	0.4490 	0.0000 	0.0000 	0.0000 	1.0000 	0.7547 	0.8935 	0.0000 	0.0000 	0.0000 	0.8935 	0.2055 	0.0000 	0.4490 	0.8935 	0.7122 	0.8935 	0.4490 	0.8609 	0.8935 	0.4490 	0.8935 	0.9371 	0.4490 	0.8935 	0.8935 	0.8935 	0.8935 	0.4490 	0.4490 	0.4490 	0.8935 	0.8935 	0.8935 	0.8935 	0.8404 	0.4490 	0.8935 	0.0000 
MALME-3M	0.2082 	0.7522 	0.6396 	0.6396 	0.6397 	0.2082 	0.7400 	0.9491 	0.2082 	0.7400 	0.8462 	0.1853 	0.7400 	0.2082 	0.2082 	0.2082 	0.2082 	0.2082 	0.0000 	0.0000 	0.2082 	0.0000 	0.6396 	0.0000 	0.7547 	1.0000 	0.7400 	0.6396 	0.6396 	0.6396 	0.7400 	0.6640 	0.6396 	0.2082 	0.7400 	0.9761 	0.7400 	0.2082 	0.7129 	0.7400 	0.2082 	0.7400 	0.6561 	0.2082 	0.7400 	0.7400 	0.7400 	0.7400 	0.2082 	0.2082 	0.2082 	0.7400 	0.7400 	0.7400 	0.7400 	0.9133 	0.2082 	0.7400 	0.6396 
M14	0.0000 	0.8862 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.5762 	0.0000 	1.0000 	0.5443 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8935 	0.7400 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.7970 	1.0000 	0.0000 	0.9635 	1.0000 	0.0000 	1.0000 	0.6806 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.9405 	0.0000 	1.0000 	0.0000 
SK-MEL-2	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
SK-MEL-28	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
SK-MEL-5	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
