CELLLINE	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
K-562	0.859169041	0.903215632	0.892868508	0.914627161	0.863344813	0.857426507	0.873612609	0.872334029	0.900416632	0.903401878	0.8870034	0.878985387	0.885686051	0.908784804	0.881513634	0.894830218	0.884978581	0.891654991	0.890385124	0.912542897	1	0.898191209	0.911567114	0.906761082	0.90981511	0.878212169	0.876958251	0.878775004	0.894100647	0.882706996	0.884761959	0.88582902	0.877722414	0.895308801	0.88349414	0.893785653	0.88637652	0.887554718	0.879918153	0.878413978	0.892110464	0.892716285	0.909105452	0.847773784	0.884780348	0.907724438	0.890280983	0.896889379	0.897901148	0.896282651	0.900984274	0.884785394	0.878179276	0.86681631	0.878672504	0.892525502	0.869320025	0.890207134	0.883950051
MOLT-4	0.898239466	0.902091132	0.893636089	0.904753401	0.885249536	0.884995633	0.881016189	0.884073151	0.917085129	0.917327098	0.892314214	0.904123272	0.890124113	0.909601872	0.904708011	0.895617795	0.909968029	0.909061563	0.937599682	0.92815638	0.898191209	1	0.920157729	0.914517951	0.905008809	0.890945087	0.871280512	0.888624795	0.897126836	0.875745701	0.894414539	0.887532026	0.890243066	0.882900337	0.890590618	0.898876681	0.890576153	0.890132086	0.900024535	0.900605764	0.889129232	0.91874139	0.890978097	0.861659318	0.889866533	0.916255794	0.905798513	0.896991635	0.902632133	0.907514533	0.893789632	0.893443555	0.874515663	0.87516871	0.878759411	0.906165566	0.861206968	0.913326767	0.885306947
RPMI-8226	0.908150333	0.937557362	0.924586879	0.925233821	0.905392876	0.895672289	0.893838066	0.91691871	0.929322459	0.929725435	0.91674757	0.905881988	0.904504373	0.942685096	0.923670163	0.917437212	0.920422099	0.903501628	0.890195518	0.930430676	0.911567114	0.920157729	1	0.933732363	0.927544323	0.917149369	0.896608346	0.907465477	0.928958088	0.909807153	0.917246028	0.920582807	0.898061296	0.9169329	0.919551564	0.91307822	0.898756629	0.934394861	0.918721652	0.919035702	0.922164998	0.911976746	0.920785172	0.890507237	0.909502794	0.932955778	0.927427896	0.914103854	0.92928715	0.924214303	0.923149147	0.926004303	0.918072731	0.894434152	0.896932669	0.929966102	0.878585238	0.930503095	0.903297071
SR	0.889382177	0.910704537	0.908206812	0.899449562	0.870187893	0.867935253	0.885330521	0.895897005	0.908434646	0.902027088	0.901920649	0.892223041	0.898947388	0.897797118	0.888442507	0.886702972	0.891412932	0.899373522	0.911327904	0.925968026	0.906761082	0.914517951	0.933732363	1	0.911743229	0.90260145	0.886696574	0.902271628	0.901819055	0.910072121	0.91006837	0.898811101	0.886687082	0.892631499	0.886856662	0.885890958	0.882203734	0.89611784	0.883076754	0.882464923	0.898649326	0.8952119	0.901260935	0.860883815	0.883571027	0.902543119	0.896552404	0.887911859	0.897259737	0.895615404	0.898449333	0.896092783	0.884013271	0.87750851	0.872449269	0.890566056	0.858074793	0.909550388	0.876845663
LOX-IMVI	0.896609593	0.949725239	0.940774576	0.943275475	0.900004138	0.918968619	0.940890573	0.936244228	0.939991136	0.95370053	0.926068361	0.891035841	0.911241095	0.947639361	0.924258604	0.926571594	0.915868824	0.894476229	0.886615308	0.91078779	0.90981511	0.905008809	0.927544323	0.911743229	1	0.929774506	0.927780878	0.925772267	0.935274254	0.918530734	0.929268961	0.939897978	0.929891644	0.935608901	0.935394466	0.950446035	0.945902626	0.915129901	0.914979226	0.918725253	0.929202693	0.932066957	0.929075927	0.917104886	0.898298891	0.943768797	0.935947026	0.950433852	0.93182476	0.94982134	0.944301288	0.944211582	0.90800982	0.919763046	0.946417445	0.944863956	0.915584779	0.94463986	0.949534431
MALME-3M	0.895492219	0.92220258	0.926297167	0.927632604	0.896879364	0.900605667	0.9094889	0.928045758	0.940216243	0.913142016	0.92210645	0.884075899	0.890949451	0.923795838	0.905528743	0.904016552	0.899485625	0.890944382	0.87610423	0.897108914	0.878212169	0.890945087	0.917149369	0.90260145	0.929774506	1	0.934834995	0.946873845	0.950411603	0.938851187	0.952466377	0.941973578	0.928315442	0.91870989	0.912385302	0.915615275	0.900698142	0.914322549	0.900933493	0.900504075	0.90842613	0.904274467	0.90996293	0.888296128	0.892460496	0.920388596	0.902641719	0.917582897	0.918509497	0.906840363	0.922404931	0.915762091	0.905883842	0.907636826	0.916892471	0.919841025	0.904491448	0.92153958	0.924527328
M14	0.861240937	0.905655336	0.906638811	0.917520326	0.875847611	0.899385243	0.92578671	0.929433005	0.916953594	0.921905319	0.914275763	0.856628016	0.876464494	0.910154885	0.888338468	0.889945197	0.884911733	0.888215054	0.868181885	0.871255712	0.876958251	0.871280512	0.896608346	0.886696574	0.927780878	0.934834995	1	0.938057414	0.933711004	0.933395925	0.930415694	0.939455631	0.938871077	0.907539486	0.908158295	0.916081458	0.911289227	0.880856306	0.88617958	0.896187369	0.907870121	0.907138237	0.899505022	0.880921846	0.870533565	0.908412127	0.901756949	0.921956504	0.911878972	0.916207013	0.915990165	0.907579758	0.868284599	0.894826324	0.921007429	0.917006435	0.905038891	0.913018919	0.920896793
SK-MEL-2	0.881699581	0.912913212	0.917165517	0.90946301	0.888505829	0.899647498	0.926024871	0.919542234	0.922302318	0.926735855	0.918738192	0.870500561	0.885465509	0.917460821	0.887000513	0.887614745	0.885375821	0.889209044	0.881307711	0.888430166	0.878775004	0.888624795	0.907465477	0.902271628	0.925772267	0.946873845	0.938057414	1	0.946376138	0.938978592	0.95476409	0.952613194	0.948602886	0.915438098	0.909194181	0.916619828	0.907006016	0.893844126	0.892810241	0.901982904	0.911648619	0.912911516	0.900378241	0.893161239	0.879848277	0.910758817	0.899507499	0.920015959	0.90904278	0.922561964	0.923647007	0.912060664	0.879672789	0.888449323	0.911449564	0.910579413	0.904016403	0.91444311	0.914103485
SK-MEL-28	0.890946069	0.927144794	0.92154286	0.931807335	0.900865604	0.904378161	0.92311002	0.919939321	0.936538989	0.933209921	0.925621968	0.893202608	0.897777054	0.948261612	0.921676923	0.920815123	0.912055694	0.900241813	0.870887964	0.906187159	0.894100647	0.897126836	0.928958088	0.901819055	0.935274254	0.950411603	0.933711004	0.946376138	1	0.947845487	0.953464862	0.95404586	0.939550904	0.91477718	0.922895713	0.932500935	0.910506538	0.916472563	0.91209789	0.921353653	0.923634501	0.916562746	0.919728979	0.895921508	0.901327183	0.932115111	0.918518631	0.93326234	0.926171815	0.928064025	0.924207926	0.926223323	0.901018053	0.901936794	0.921304055	0.933595825	0.903409632	0.926554945	0.924771939
SK-MEL-5	0.877928495	0.905947018	0.905683528	0.905299005	0.88893862	0.882255827	0.909362062	0.900816225	0.914875441	0.910347767	0.902579569	0.878653793	0.884686236	0.914619534	0.888194654	0.886007102	0.882772164	0.888311011	0.860534413	0.89417197	0.882706996	0.875745701	0.909807153	0.910072121	0.918530734	0.938851187	0.933395925	0.938978592	0.947845487	1	0.944009592	0.944357941	0.924343629	0.896573308	0.892642928	0.896653058	0.888422251	0.8915625	0.896104763	0.895227104	0.907966244	0.900215525	0.89625315	0.874525151	0.872151453	0.90537041	0.894230371	0.899098056	0.900539296	0.903937162	0.904524196	0.894877199	0.877969995	0.889901138	0.895450417	0.897120887	0.875180727	0.897786184	0.901592821
